pop,pop_dens,error,price,predicted_price
1369,176.4175257732,46276.394026069494,119397,73120.6059739305
9438,5302.2471910112,44940.22878581517,55173,100113.22878581517
7299,1158.5714285714,182697.31235721428,269985,87287.6876427857
84,77.7777777778,50955.51678263226,122938,71982.48321736774
14796,2466.0,37584.89447732613,62182,99766.89447732613
3807,265.4811715481,35873.192491696376,109079,73205.80750830362
6244,207.8561917443,78207.8932271563,148422,70214.1067728437
1174,578.3251231527,49276.69721445438,130477,81200.30278554562
1931,403.1315240084,41085.50838109592,118417,77331.49161890408
8923,3458.527131783,78182.27142149657,185213,107030.72857850343
113173,1662.5973262818,30582.32867520745,70966,40383.67132479255
6817,56.7799433617,63917.097893071375,130375,66457.90210692862
723,153.5031847134,68773.87306678241,141889,73115.12693321759
133,5.3911633563,27029.802006753802,43348,70377.8020067538
854,145.7337883959,34032.67875019909,106887,72854.32124980091
883,412.6168224299,56883.310036950454,135136,78252.68996304955
8868,346.1358313817,30583.948462971923,101854,71270.05153702808
4615,750.406504065,49698.38868427093,131753,82054.61131572907
493,169.4158075601,44506.04120683114,118125,73618.95879316886
1000,1063.829787234,30779.76611612439,58786,89565.76611612439
13067,1664.5859872612,80056.1487968001,171602,91545.8512031999
3239,1732.0855614973,77045.90120475765,174458,97412.09879524235
603,198.3552631579,32399.633287318444,106541,74141.36671268156
3270,1292.4901185771,28414.074884569724,63238,91652.07488456972
694,296.5811965812,149448.11675866778,225534,76085.88324133222
3209,426.7287234043,36032.41237933221,112934,76901.5876206678
16506,1196.0869565217,101969.78550031381,184876,82906.21449968619
2387,616.7958656331,347721.74742082064,428474,80752.25257917939
7759,1450.2803738318,35911.60617833078,56034,91945.60617833078
1366,477.6223776224,48539.12153560197,127195,78655.87846439803
1432,361.6161616162,44742.257338807554,120940,76197.74266119245
10458,143.0251641138,35406.926742863325,100133,64726.073257136675
1709,248.0406386067,52748.514680265565,126297,73548.48531973443
5960,867.5400291121,27890.833505265167,55342,83232.83350526517
3776,788.3089770355,92654.1871462427,175791,83136.8128537573
11269,1290.8361970218,25076.3541635741,62439,87515.3541635741
810,519.2307692308,37925.809886002186,117803,79877.19011399781
843,344.0816326531,59561.83202223678,135804,76242.16797776322
101,117.4418604651,52204.50213134791,124021,71816.49786865209
5336,2884.3243243243,47904.65739487816,59378,107282.65739487816
2186,797.8102189781,93053.93711344022,177380,84326.06288655978
431,218.7817258883,28957.654748311892,102790,73832.34525168811
744,55.3571428571,25090.240388076927,44826,69916.24038807693
